Date,Open,High,Low,Close,Adj Close,Volume
2000-02-11,273000.000000,273000.000000,273000.000000,273000.000000,257620.671875,55300
2000-02-14,264000.000000,298000.000000,240500.000000,247000.000000,233085.421875,1254100
2000-02-15,250000.000000,259000.000000,217500.000000,217500.000000,205247.281250,648600
2000-02-16,210000.000000,243500.000000,200000.000000,243500.000000,229782.593750,871400
2000-02-17,246000.000000,267500.000000,235000.000000,243500.000000,229782.593750,1019800
2000-02-18,250500.000000,256500.000000,225000.000000,228000.000000,215155.734375,912300
2000-02-21,210000.000000,228000.000000,201500.000000,206500.000000,194866.937500,588600
2000-02-22,215000.000000,222000.000000,191000.000000,196000.000000,184958.468750,481700
2000-02-23,187000.000000,193000.000000,172500.000000,180000.000000,169859.812500,461500
2000-02-24,199000.000000,201500.000000,190000.000000,201500.000000,190148.640625,198100
2000-02-25,219500.000000,221500.000000,198000.000000,200000.000000,188733.125000,505100
2000-02-28,190000.000000,205000.000000,183500.000000,184000.000000,173634.484375,472000
2000-02-29,191000.000000,195000.000000,178500.000000,184000.000000,173634.484375,277400
2000-03-01,184000.000000,184000.000000,184000.000000,184000.000000,173634.484375,0
2000-03-02,190000.000000,195000.000000,173000.000000,179500.000000,169387.984375,309000
2000-03-03,158000.000000,165000.000000,158000.000000,158000.000000,149099.171875,616700
2000-03-06,165000.000000,167500.000000,142000.000000,147000.000000,138718.859375,476900
2000-03-07,141500.000000,159000.000000,135000.000000,156000.000000,147211.828125,583900
2000-03-08,148000.000000,167000.000000,147000.000000,160000.000000,150986.500000,765800
2000-03-09,164000.000000,179000.000000,155000.000000,179000.000000,168916.156250,657100
2000-03-10,185000.000000,196000.000000,169000.000000,177000.000000,167028.859375,805700
2000-03-13,177000.000000,180000.000000,156000.000000,157000.000000,148155.484375,480700
2000-03-14,143000.000000,155000.000000,141000.000000,145500.000000,137303.343750,432500
2000-03-15,140000.000000,154000.000000,134000.000000,142500.000000,134472.375000,620700
2000-03-16,145000.000000,158500.000000,138500.000000,147000.000000,138718.859375,1060100
2000-03-17,143000.000000,145000.000000,129500.000000,129500.000000,122204.687500,354300
2000-03-20,125000.000000,125000.000000,114000.000000,114000.000000,107577.867188,282600
2000-03-21,102000.000000,117500.000000,100500.000000,110000.000000,103803.218750,721600
2000-03-22,115000.000000,123000.000000,113000.000000,114500.000000,108049.703125,663100
2000-03-23,119500.000000,123000.000000,106000.000000,110000.000000,103803.218750,479600
2000-03-24,113500.000000,116000.000000,105000.000000,109000.000000,102859.554688,294700
2000-03-27,111000.000000,119000.000000,105500.000000,115500.000000,108993.382813,626000
2000-03-28,116000.000000,119500.000000,114000.000000,115500.000000,108993.382813,272200
2000-03-29,110000.000000,114000.000000,102000.000000,103000.000000,97197.562500,239900
2000-03-30,96500.000000,115000.000000,91000.000000,115000.000000,108521.554688,588400
2000-03-31,111500.000000,122000.000000,102000.000000,102500.000000,96725.718750,655600
2000-04-03,105000.000000,107500.000000,91700.000000,96500.000000,91063.726563,369300
2000-04-04,92000.000000,93500.000000,85600.000000,87800.000000,82853.835938,525300
2000-04-05,87800.000000,87800.000000,87800.000000,87800.000000,82853.835938,0
2000-04-06,88000.000000,96800.000000,87000.000000,89200.000000,84174.984375,688600
2000-04-07,94000.000000,99900.000000,92000.000000,99900.000000,94272.187500,413900
2000-04-10,108000.000000,111500.000000,106000.000000,111500.000000,105218.718750,104200
2000-04-11,100500.000000,117000.000000,99500.000000,100000.000000,94366.562500,822600
2000-04-12,97000.000000,100000.000000,94000.000000,97000.000000,91535.570313,297300
2000-04-13,97000.000000,97000.000000,97000.000000,97000.000000,91535.570313,0
2000-04-14,90000.000000,92000.000000,85400.000000,85400.000000,80589.039063,236500
2000-04-17,75200.000000,75200.000000,75200.000000,75200.000000,70963.671875,7500
2000-04-18,77100.000000,82900.000000,66200.000000,67400.000000,63603.062500,631100
2000-04-19,70200.000000,74900.000000,66100.000000,68000.000000,64169.273438,649200
2000-04-20,67000.000000,68300.000000,60000.000000,62800.000000,59262.203125,424100
2000-04-21,64600.000000,70300.000000,61400.000000,70300.000000,66339.679688,789100
2000-04-24,69800.000000,71800.000000,62000.000000,62000.000000,58507.273438,460800
2000-04-25,59100.000000,63600.000000,57300.000000,61200.000000,57752.339844,475000
2000-04-26,64300.000000,65800.000000,59400.000000,60000.000000,56619.933594,415600
2000-04-27,57500.000000,59500.000000,52800.000000,52800.000000,49825.550781,261500
2000-04-28,54000.000000,55400.000000,50500.000000,52500.000000,49542.441406,416300
2000-05-01,52500.000000,52500.000000,52500.000000,52500.000000,49542.441406,0
2000-05-02,54100.000000,58800.000000,53200.000000,58800.000000,55487.539063,332600
2000-05-03,59900.000000,63500.000000,59200.000000,62000.000000,58507.273438,558800
2000-05-04,62700.000000,68400.000000,60600.000000,63500.000000,59922.765625,444600
2000-05-05,63500.000000,63500.000000,63500.000000,63500.000000,59922.765625,0
2000-05-08,66100.000000,68000.000000,62500.000000,62700.000000,59167.835938,430600
2000-05-09,62700.000000,62700.000000,62700.000000,62700.000000,59167.835938,0
2000-05-10,58500.000000,60000.000000,56000.000000,57400.000000,54166.402344,343400
2000-05-11,57400.000000,57400.000000,57400.000000,57400.000000,54166.402344,0
2000-05-12,55900.000000,57100.000000,51600.000000,52000.000000,49070.617188,299400
2000-05-15,50000.000000,51500.000000,45800.000000,45850.000000,43267.062500,302500
2000-05-16,45850.000000,51300.000000,44000.000000,51300.000000,48410.046875,437700
2000-05-17,53100.000000,54000.000000,45200.000000,46000.000000,43408.621094,629800
2000-05-18,45000.000000,50800.000000,41500.000000,47200.000000,44541.015625,946700
2000-05-19,49500.000000,52800.000000,46100.000000,52800.000000,49825.550781,887700
2000-05-22,54000.000000,59100.000000,49000.000000,51100.000000,48221.312500,1720300
2000-05-23,53000.000000,57200.000000,51600.000000,57200.000000,53977.667969,615400
2000-05-24,59900.000000,64000.000000,58500.000000,64000.000000,60394.609375,1163500
2000-05-25,65000.000000,71600.000000,62000.000000,69600.000000,65679.132813,915700
2000-05-26,66900.000000,77500.000000,63100.000000,66000.000000,62281.937500,1274500
2000-05-29,66000.000000,69000.000000,62500.000000,64300.000000,60677.695313,744000
2000-05-30,64300.000000,64300.000000,64300.000000,64300.000000,60677.695313,0
2000-05-31,77400.000000,80600.000000,75800.000000,80600.000000,76059.453125,911800
2000-06-01,80600.000000,84900.000000,77300.000000,78600.000000,74172.117188,1171000
2000-06-02,82800.000000,85200.000000,75300.000000,78100.000000,73700.281250,769900
2000-06-05,83100.000000,87400.000000,81500.000000,87400.000000,82476.367188,613900
2000-06-06,87400.000000,87400.000000,87400.000000,87400.000000,82476.367188,0
2000-06-07,89000.000000,97800.000000,88000.000000,97800.000000,92290.500000,825500
2000-06-08,104000.000000,109500.000000,98600.000000,109500.000000,103331.390625,1214800
2000-06-09,105000.000000,118500.000000,96500.000000,99600.000000,93989.101563,1432700
2000-06-12,99000.000000,103500.000000,91000.000000,95400.000000,90025.703125,816000
2000-06-13,95000.000000,102500.000000,87500.000000,90800.000000,85684.851563,1032700
2000-06-14,94300.000000,96500.000000,87700.000000,90900.000000,85779.203125,697300
2000-06-15,89000.000000,90000.000000,80000.000000,80000.000000,75493.250000,474700
2000-06-16,77000.000000,89600.000000,75000.000000,89600.000000,84552.437500,1330600
2000-06-19,91000.000000,96700.000000,80300.000000,83000.000000,78324.265625,1523600
2000-06-20,86700.000000,89000.000000,81600.000000,84200.000000,79456.648438,710300
2000-06-21,85100.000000,92000.000000,84500.000000,88300.000000,83325.679688,1012500
2000-06-22,90000.000000,92400.000000,85000.000000,86900.000000,82004.539063,665700
2000-06-23,83000.000000,91100.000000,82800.000000,88500.000000,83514.429688,747200
2000-06-26,88000.000000,99100.000000,87000.000000,99100.000000,93517.257813,1247300
2000-06-27,102500.000000,107000.000000,95600.000000,100000.000000,94366.562500,2112000
2000-06-28,100000.000000,112000.000000,98000.000000,112000.000000,105690.546875,1329900
2000-06-29,117000.000000,120500.000000,104000.000000,105000.000000,99084.882813,2329700
2000-06-30,103000.000000,115500.000000,99400.000000,106000.000000,100028.562500,1747700
2000-07-03,106000.000000,111000.000000,104500.000000,106000.000000,100028.562500,732600
2000-07-04,102000.000000,107500.000000,97200.000000,97900.000000,92384.867188,689000
2000-07-05,96000.000000,97000.000000,86200.000000,87000.000000,82098.906250,798600
2000-07-06,85000.000000,89800.000000,80300.000000,89000.000000,83986.250000,837600
2000-07-07,90100.000000,91900.000000,87100.000000,88100.000000,83136.945313,436600
2000-07-10,86200.000000,89500.000000,83000.000000,84900.000000,80117.218750,440100
2000-07-11,85500.000000,86800.000000,78200.000000,79000.000000,74549.585938,596200
2000-07-12,80100.000000,88400.000000,77800.000000,88400.000000,83420.039063,1299100
2000-07-13,90000.000000,95200.000000,85000.000000,86000.000000,81155.242188,1626200
2000-07-14,89900.000000,91200.000000,85500.000000,87400.000000,82476.367188,933500
2000-07-17,87400.000000,87400.000000,87400.000000,87400.000000,82476.367188,0
2000-07-18,88000.000000,90000.000000,80000.000000,82000.000000,77380.578125,956500
2000-07-19,88000.000000,90000.000000,80000.000000,82000.000000,77380.578125,956500
2000-07-20,70200.000000,75500.000000,67200.000000,72000.000000,67943.921875,1467900
2000-07-21,71100.000000,74400.000000,68900.000000,69400.000000,65490.394531,483300
2000-07-24,67100.000000,69300.000000,65400.000000,67500.000000,63697.421875,594300
2000-07-25,67400.000000,75600.000000,64800.000000,75600.000000,71341.125000,687100
2000-07-26,77600.000000,80500.000000,72100.000000,72800.000000,68698.851563,1155200
2000-07-27,73500.000000,73700.000000,69100.000000,70500.000000,66528.429688,473900
2000-07-28,68500.000000,69000.000000,63100.000000,63800.000000,60205.867188,462200
2000-07-31,61000.000000,71400.000000,60300.000000,71400.000000,67377.718750,1114700
2000-08-01,72100.000000,73400.000000,69000.000000,70400.000000,66434.054688,1159900
2000-08-02,70400.000000,76300.000000,68500.000000,71000.000000,67000.265625,1024400
2000-08-03,71700.000000,76100.000000,71600.000000,72200.000000,68132.656250,1116100
2000-08-04,73000.000000,73500.000000,69000.000000,69700.000000,65773.507813,408300
2000-08-07,68500.000000,70300.000000,65700.000000,66200.000000,62470.660156,295200
2000-08-08,66800.000000,69900.000000,65500.000000,66900.000000,63131.238281,474700
2000-08-09,67300.000000,71000.000000,66600.000000,69800.000000,65867.851563,595900
2000-08-10,69400.000000,69400.000000,67200.000000,67400.000000,63603.062500,317100
2000-08-11,67000.000000,68600.000000,65600.000000,66500.000000,62753.765625,259600
2000-08-14,66200.000000,68000.000000,64500.000000,65500.000000,61810.097656,243600
2000-08-15,65500.000000,65500.000000,65500.000000,65500.000000,61810.097656,0
2000-08-16,65400.000000,67400.000000,65300.000000,65700.000000,61998.832031,216400
2000-08-17,65100.000000,66100.000000,62000.000000,62600.000000,59073.468750,299500
2000-08-18,63000.000000,63900.000000,59500.000000,60300.000000,56903.042969,303600
