Date,Open,High,Low,Close,Adj Close,Volume
2011-12-14,653.500000,655.000000,611.000000,635.000000,607.853271,56511400
2011-12-15,632.500000,634.500000,616.000000,622.000000,595.409058,14151400
2011-12-16,622.500000,628.500000,545.500000,550.000000,526.487122,20449600
2011-12-19,520.000000,561.500000,510.000000,530.000000,507.342194,11065200
2011-12-20,525.000000,540.000000,511.500000,526.500000,503.991669,7386800
2011-12-21,550.000000,556.000000,522.500000,530.000000,507.342194,5245200
2011-12-22,545.000000,571.000000,529.500000,558.500000,534.623779,10466400
2011-12-26,569.000000,588.500000,560.000000,587.500000,562.383911,5583000
2011-12-27,581.000000,595.000000,572.000000,578.000000,553.289978,3650000
2011-12-28,565.000000,577.000000,556.000000,561.000000,537.016907,2768000
2011-12-29,557.500000,568.500000,537.500000,553.500000,529.837524,2592600
2011-12-30,551.000000,564.500000,551.000000,553.500000,529.837524,1761800
2012-01-04,562.000000,580.000000,555.500000,576.500000,551.854248,2979000
2012-01-05,577.500000,583.000000,573.000000,576.000000,551.375610,1646000
2012-01-06,573.000000,575.000000,557.500000,562.500000,538.452820,1050600
2012-01-10,550.000000,576.500000,550.000000,575.000000,550.418457,1503200
2012-01-11,570.000000,595.000000,570.000000,593.500000,568.127441,3926600
2012-01-12,593.500000,597.500000,582.000000,582.500000,557.597656,2191600
2012-01-13,585.000000,599.500000,582.500000,599.000000,573.392334,1856400
2012-01-16,615.000000,620.000000,597.000000,599.500000,573.870850,4987400
2012-01-17,601.000000,602.000000,593.500000,597.500000,571.956604,3653200
2012-01-18,602.500000,604.500000,599.000000,600.000000,574.349609,1802400
2012-01-19,595.500000,602.000000,593.500000,595.000000,569.563416,2745000
2012-01-20,590.000000,592.000000,577.500000,582.000000,557.119080,3332800
2012-01-23,572.500000,573.000000,550.000000,556.000000,532.230652,2896600
2012-01-24,557.500000,575.000000,555.500000,574.000000,549.461121,1908600
2012-01-25,574.500000,585.500000,566.500000,569.000000,544.674866,2049800
2012-01-26,561.000000,565.500000,515.000000,543.500000,520.265015,4672800
2012-01-27,537.500000,563.500000,526.500000,559.000000,535.102173,3809600
2012-01-30,558.500000,593.500000,554.000000,585.000000,559.990723,19514600
2012-01-31,573.000000,580.000000,550.000000,557.500000,533.666443,4457200
2012-02-01,550.000000,573.000000,549.000000,570.000000,545.632141,2275800
2012-02-02,570.500000,573.000000,563.500000,571.500000,547.068054,903800
2012-02-03,575.000000,580.500000,560.500000,567.500000,543.239014,1470000
2012-02-06,572.000000,577.500000,565.000000,569.000000,544.674866,701600
2012-02-07,582.500000,585.500000,571.000000,572.500000,548.025269,1790800
2012-02-08,579.000000,594.000000,577.000000,593.500000,568.127441,3416200
2012-02-09,594.000000,598.500000,587.500000,593.000000,567.648743,1585600
2012-02-10,597.000000,608.000000,586.500000,605.000000,579.135803,2414600
2012-02-13,610.000000,621.000000,605.500000,620.000000,593.494568,2675400
2012-02-14,625.000000,635.500000,619.000000,632.000000,604.981567,3855200
2012-02-15,610.000000,622.000000,597.000000,601.500000,575.785400,4440200
2012-02-16,590.000000,590.000000,572.500000,576.500000,551.854248,3458000
2012-02-17,585.000000,585.000000,554.000000,562.000000,537.974060,2463400
2012-02-20,561.000000,562.500000,550.500000,550.500000,526.965820,1532600
2012-02-21,551.000000,566.500000,551.000000,564.000000,539.888550,2111200
2012-02-22,569.000000,579.000000,564.500000,577.500000,552.811462,1660400
2012-02-23,575.000000,586.000000,567.000000,582.000000,557.119080,2453000
2012-02-24,584.000000,592.500000,584.000000,591.000000,565.734436,2734200
2012-02-27,599.500000,620.000000,595.000000,618.000000,591.580078,4850400
2012-02-28,610.000000,616.500000,592.000000,601.000000,575.306763,2775000
2012-02-29,595.000000,599.500000,579.500000,587.500000,562.383911,2076400
2012-03-01,599.500000,610.000000,590.000000,596.000000,570.520569,1713800
2012-03-02,609.500000,609.500000,589.000000,599.500000,573.870850,2153000
2012-03-05,606.500000,606.500000,597.500000,598.000000,572.435120,1052600
2012-03-06,595.000000,605.000000,592.500000,597.500000,571.956604,1096400
2012-03-07,605.000000,610.000000,597.500000,604.000000,578.178528,2569200
2012-03-08,612.500000,619.000000,607.000000,619.000000,592.537354,2659200
2012-03-09,625.000000,625.000000,611.500000,614.500000,588.229736,2570200
2012-03-12,615.500000,617.000000,608.500000,614.500000,588.229736,875400
2012-03-13,611.000000,612.500000,603.000000,606.000000,580.092957,1412600
2012-03-14,612.500000,615.000000,600.000000,605.000000,579.135803,1185200
2012-03-15,610.000000,610.000000,591.000000,595.000000,569.563416,2696000
2012-03-16,588.500000,635.000000,586.000000,629.500000,602.588379,4168200
2012-03-19,620.500000,639.000000,620.500000,637.000000,609.767761,3135600
2012-03-21,637.000000,655.000000,635.000000,647.500000,619.818848,3311800
2012-03-22,675.000000,697.500000,675.000000,686.000000,656.672974,13235600
2012-03-23,686.500000,690.000000,676.000000,684.000000,654.758545,4275000
2012-03-26,688.000000,705.000000,680.000000,687.000000,657.630310,4111600
2012-03-27,687.000000,704.500000,687.000000,702.500000,672.467651,5117000
2012-03-28,700.500000,732.500000,699.000000,725.000000,694.005737,6632800
2012-03-29,726.500000,734.500000,707.500000,723.500000,692.569885,3278800
2012-03-30,724.500000,733.000000,711.500000,721.000000,690.176819,3726400
2012-04-02,721.500000,728.500000,707.500000,719.000000,688.262207,1729200
2012-04-03,722.500000,738.500000,712.500000,728.500000,697.356079,2681200
2012-04-04,725.000000,731.000000,717.000000,722.000000,691.134033,2561200
2012-04-05,707.000000,711.500000,693.000000,706.000000,675.817932,2758400
2012-04-06,715.000000,730.500000,712.000000,725.000000,694.005737,2337400
2012-04-09,733.500000,737.500000,707.500000,727.000000,695.920166,2121000
2012-04-10,726.000000,749.500000,724.000000,735.500000,704.056946,3082200
2012-04-11,725.000000,755.000000,721.000000,748.500000,716.501038,3231200
2012-04-12,750.500000,764.500000,739.500000,750.500000,718.415527,2683600
2012-04-13,749.500000,750.000000,730.000000,741.000000,709.321594,2046000
2012-04-16,735.000000,735.500000,717.000000,722.500000,691.612610,2981200
2012-04-17,725.000000,735.000000,719.000000,722.000000,691.134033,2040400
2012-04-18,735.000000,754.500000,732.500000,745.000000,713.150818,2286000
2012-04-19,736.500000,754.500000,735.000000,752.500000,720.330078,2069600
2012-04-20,765.500000,788.500000,765.500000,778.000000,744.739929,5525800
2012-04-23,779.000000,794.000000,775.000000,779.500000,746.175903,2315400
2012-04-24,779.500000,788.000000,762.500000,770.500000,737.560669,1962600
2012-04-25,776.500000,785.000000,765.000000,780.000000,746.654419,1686600
2012-04-26,787.500000,792.000000,736.000000,762.000000,729.423889,8104000
2012-04-27,778.500000,784.500000,757.500000,762.000000,729.423889,4223800
2012-05-01,754.000000,760.500000,725.500000,732.000000,700.706482,3065800
2012-05-02,732.000000,746.000000,722.000000,742.000000,710.278992,1779000
2012-05-07,715.500000,753.500000,714.000000,740.000000,708.364563,2413800
2012-05-08,740.500000,789.500000,722.000000,769.000000,736.124634,3665800
2012-05-09,755.500000,785.000000,745.500000,770.000000,737.081970,2969200
2012-05-10,764.500000,765.000000,726.000000,737.500000,705.971313,3738200
2012-05-11,771.500000,778.500000,727.500000,733.000000,701.663757,5368400
2012-05-14,720.000000,730.500000,713.500000,722.500000,691.612610,2794800
2012-05-15,707.500000,738.000000,700.000000,713.500000,682.997314,5165400
2012-05-16,725.000000,727.000000,693.000000,703.000000,672.946228,5190800
2012-05-17,700.500000,712.500000,690.500000,705.500000,675.339355,2467200
2012-05-18,695.000000,701.500000,686.500000,690.000000,660.502014,1719000
2012-05-21,675.000000,692.500000,666.000000,672.500000,643.750000,3236200
2012-05-22,672.500000,687.000000,671.000000,674.500000,645.664673,2512000
2012-05-23,669.500000,674.500000,656.000000,663.500000,635.135010,2763800
2012-05-24,664.000000,672.500000,648.000000,653.000000,625.083740,2806400
2012-05-25,675.000000,680.000000,654.000000,665.500000,637.049438,3509800
2012-05-28,668.000000,670.000000,645.500000,659.500000,631.305908,2785000
2012-05-29,644.500000,657.500000,633.000000,654.500000,626.519653,3004000
2012-05-30,654.500000,665.500000,632.000000,644.000000,616.468628,3638400
2012-05-31,629.000000,632.000000,601.500000,619.500000,593.015869,18866600
2012-06-01,619.000000,624.500000,611.500000,624.500000,597.802063,3488400
2012-06-04,595.000000,606.000000,592.500000,600.000000,574.349609,2607600
2012-06-05,612.500000,631.500000,608.000000,628.000000,601.152588,4092600
2012-06-06,673.000000,675.000000,637.500000,654.500000,626.519653,4208200
2012-06-07,669.500000,671.000000,655.500000,661.000000,632.741821,2572000
2012-06-08,666.000000,666.000000,640.000000,659.500000,631.305908,2676200
2012-06-11,689.500000,696.500000,680.500000,693.500000,663.852295,3530000
2012-06-12,693.500000,703.000000,688.500000,702.000000,671.989075,3959400
2012-06-13,706.500000,706.500000,693.000000,698.500000,668.638611,2115000
2012-06-14,698.000000,700.500000,689.000000,696.000000,666.245483,1409000
2012-06-15,696.000000,703.500000,681.000000,697.000000,667.202698,1270200
2012-06-18,706.500000,728.000000,703.000000,724.000000,693.048523,1654400
2012-06-19,724.500000,745.500000,720.500000,734.500000,703.099670,1640400
2012-06-20,747.500000,760.000000,741.000000,757.000000,724.637695,2276000
2012-06-21,757.000000,757.000000,736.500000,739.000000,707.407166,1700000
2012-06-22,731.500000,736.500000,723.500000,731.000000,699.749207,1170200
2012-06-25,726.000000,734.000000,721.500000,727.500000,696.398987,835800
2012-06-26,727.500000,743.500000,726.000000,742.500000,710.757690,2158800
2012-06-27,742.000000,742.000000,723.000000,738.500000,706.928589,926000
2012-06-28,745.000000,752.500000,740.000000,752.500000,720.330078,1214000
2012-06-29,760.000000,776.500000,757.500000,775.000000,741.868286,2781800
2012-07-02,800.000000,808.000000,776.500000,777.000000,743.782654,1541800
2012-07-03,775.000000,790.000000,772.000000,787.500000,753.833679,1726800
2012-07-04,795.000000,805.000000,792.500000,802.000000,767.713928,1835200
2012-07-05,798.500000,801.000000,790.000000,798.500000,764.363647,913200
2012-07-06,797.500000,804.000000,794.000000,801.000000,766.756775,979800
2012-07-09,805.000000,836.000000,805.000000,818.500000,783.508545,3346800
2012-07-10,835.000000,846.500000,818.500000,824.900024,789.634888,2973200
2012-07-11,812.500000,816.000000,780.500000,807.000000,772.500244,2426400
2012-07-12,808.000000,818.000000,796.500000,802.150024,767.857544,1981000
2012-07-13,800.000000,811.500000,796.500000,802.000000,767.713928,1752400
2012-07-17,800.000000,823.000000,797.500000,798.500000,764.363647,2013400
2012-07-18,790.000000,791.500000,743.500000,762.500000,729.902588,2984400
2012-07-19,774.500000,788.000000,752.000000,771.500000,738.517822,1858400
2012-07-20,750.000000,757.000000,742.000000,745.500000,713.629272,1473600
2012-07-23,727.500000,752.500000,726.500000,730.000000,698.791992,905000
2012-07-24,748.000000,755.000000,739.000000,749.000000,716.979736,1524600
2012-07-25,725.000000,756.500000,725.000000,753.583374,721.367188,1280000
2012-07-26,767.500000,795.500000,757.500000,786.000000,752.397888,2234200
2012-07-27,810.000000,822.000000,792.500000,803.500000,769.149841,4200800
2012-07-30,822.500000,822.500000,777.000000,793.500000,759.577393,4277400
2012-07-31,804.500000,816.500000,795.500000,810.500000,775.850586,2262800
2012-08-01,815.000000,820.000000,802.500000,807.500000,772.978882,1085600
2012-08-02,800.000000,802.000000,789.500000,797.500000,763.406189,803600
2012-08-03,794.500000,797.500000,791.500000,797.500000,763.406189,697000
2012-08-06,800.000000,812.000000,793.500000,794.000000,760.056030,992200
2012-08-07,794.000000,803.000000,783.000000,800.000000,765.799500,1148600
2012-08-08,800.000000,807.000000,788.500000,795.000000,761.013245,1207800
2012-08-09,798.000000,819.000000,785.500000,817.500000,782.551331,2238600
2012-08-10,617.500000,617.500000,617.500000,617.500000,591.101379,284200
2012-08-13,587.500000,602.000000,547.000000,569.000000,544.674866,15231800
