Date,Open,High,Low,Close,Adj Close,Volume
2001-11-02,1150.000000,1160.000000,1095.000000,1095.000000,980.596008,1503000
2001-11-05,965.000000,965.000000,965.000000,965.000000,864.178162,214000
2001-11-06,950.000000,995.000000,946.000000,955.000000,855.223022,8789000
2001-11-07,955.000000,970.000000,887.000000,895.000000,801.491699,5572000
2001-11-08,915.000000,933.000000,895.000000,895.000000,801.491699,2453000
2001-11-09,895.000000,895.000000,895.000000,895.000000,801.491699,0
2001-11-12,780.000000,817.000000,780.000000,797.000000,713.730591,2059000
2001-11-13,794.000000,833.000000,783.000000,825.000000,738.805176,2677000
2001-11-14,802.000000,872.000000,802.000000,842.000000,754.029114,4510000
2001-11-15,851.000000,851.000000,800.000000,817.000000,731.640991,1670000
2001-11-16,825.000000,868.000000,820.000000,850.000000,761.193237,2607000
2001-11-19,863.000000,884.000000,834.000000,842.000000,754.029114,2360000
2001-11-20,845.000000,852.000000,806.000000,813.000000,728.058960,1642000
2001-11-21,811.000000,820.000000,805.000000,813.000000,728.058960,626000
2001-11-22,813.000000,830.000000,808.000000,830.000000,743.282837,931000
2001-11-23,835.000000,845.000000,813.000000,813.000000,728.058960,1287000
2001-11-26,810.000000,817.000000,786.000000,791.000000,708.357422,1228000
2001-11-27,790.000000,801.000000,781.000000,783.000000,701.193298,852000
2001-11-28,780.000000,840.000000,770.000000,796.000000,712.835083,2519000
2001-11-29,800.000000,828.000000,787.000000,825.000000,738.805176,1615000
2001-11-30,835.000000,915.000000,825.000000,865.000000,774.626038,4267000
2001-12-03,865.000000,880.000000,844.000000,850.000000,761.193237,1307000
2001-12-04,852.000000,920.000000,843.000000,905.000000,810.446960,3672000
2001-12-05,920.000000,926.000000,875.000000,895.000000,801.491699,1950000
2001-12-06,910.000000,915.000000,856.000000,870.000000,779.103638,1338000
2001-12-07,880.000000,893.000000,855.000000,871.000000,779.999268,1053000
2001-12-10,881.000000,881.000000,850.000000,860.000000,770.148499,844000
2001-12-11,858.000000,897.000000,846.000000,895.000000,801.491699,1475000
2001-12-12,943.000000,968.000000,901.000000,910.000000,814.924561,3990000
2001-12-13,920.000000,925.000000,891.000000,900.000000,805.969299,1061000
2001-12-14,898.000000,940.000000,892.000000,940.000000,841.790222,1429000
2001-12-17,954.000000,1015.000000,940.000000,950.000000,850.745422,3991000
2001-12-18,940.000000,953.000000,867.000000,875.000000,783.581238,1446000
2001-12-19,887.000000,900.000000,800.000000,805.000000,720.894836,1280000
2001-12-20,810.000000,840.000000,800.000000,830.000000,743.282837,647000
2001-12-21,826.000000,870.000000,807.000000,870.000000,779.103638,1017000
2001-12-24,865.000000,915.000000,830.000000,835.000000,747.760376,1187000
2001-12-25,835.000000,835.000000,835.000000,835.000000,747.760376,0
2001-12-26,840.000000,849.000000,830.000000,845.000000,756.715637,658000
2001-12-27,801.000000,820.000000,801.000000,807.000000,722.685791,515000
2001-12-28,820.000000,828.000000,810.000000,820.000000,734.327454,471000
2001-12-31,820.000000,820.000000,820.000000,820.000000,734.327454,0
2002-01-01,820.000000,820.000000,820.000000,820.000000,734.327454,0
2002-01-02,821.000000,830.000000,811.000000,820.000000,734.327454,392000
2002-01-03,820.000000,820.000000,820.000000,820.000000,734.327454,0
2002-01-04,832.000000,832.000000,814.000000,814.000000,728.954529,425000
2002-01-07,813.000000,824.000000,803.000000,810.000000,725.372498,540000
2002-01-08,810.000000,824.000000,796.000000,797.000000,713.730591,622000
2002-01-09,795.000000,817.000000,785.000000,814.000000,728.954529,659000
2002-01-10,800.000000,829.000000,793.000000,807.000000,722.685791,1093000
2002-01-11,808.000000,817.000000,800.000000,813.000000,728.058960,343000
2002-01-14,810.000000,817.000000,798.000000,805.000000,720.894836,284000
2002-01-15,780.000000,800.000000,780.000000,800.000000,716.417236,282000
2002-01-16,780.000000,801.000000,780.000000,801.000000,717.312744,499000
2002-01-17,790.000000,800.000000,774.000000,790.000000,707.461975,345000
2002-01-18,790.000000,791.000000,775.000000,790.000000,707.461975,463000
2002-01-21,782.000000,796.000000,780.000000,788.000000,705.670898,195000
